Date,Open,High,Low,Close,Volume
05/06/2022,"199.92","200.60","195.64","195.70","1,729,109"
05/05/2022,"208.75","208.75","199.04","199.76","2,267,534"
05/04/2022,"217.00","217.00","213.55","213.55","1,504,498"
05/03/2022,"216.65","217.45","215.20","217.00","1,260,773"
05/02/2022,"215.20","216.15","213.50","215.00","1,264,328"
04/29/2022,"216.25","216.85","214.00","216.20","1,174,939"
04/28/2022,"215.10","218.65","212.45","214.35","1,263,652"
04/27/2022,"212.00","213.65","210.20","212.25","1,378,115"
04/26/2022,"215.45","216.80","213.25","213.30","1,411,430"
04/25/2022,"215.40","217.40","212.45","212.65","1,636,768"
04/22/2022,"220.40","221.85","219.10","219.20","1,317,312"
04/21/2022,"221.35","224.55","220.80","222.40","1,175,236"
04/20/2022,"219.00","221.20","218.45","220.30","1,075,426"
04/19/2022,"220.15","220.15","217.05","218.05","1,073,081"
04/14/2022,"217.60","219.50","216.95","219.10","1,229,708"
04/13/2022,"218.00","219.55","216.10","217.50","966,191"
04/12/2022,"216.40","219.20","214.65","219.20","1,092,592"
04/11/2022,"216.50","220.55","216.40","219.30","945,463"
04/08/2022,"216.15","217.65","215.60","216.95","795,264"
04/07/2022,"215.55","216.60","212.90","213.30","1,135,947"
04/06/2022,"215.85","217.65","213.05","214.70","1,131,462"
04/05/2022,"215.90","217.65","214.60","216.10","918,932"
04/04/2022,"218.60","218.85","215.70","216.85","965,201"
04/01/2022,"217.50","219.65","216.85","218.00","855,703"
03/31/2022,"217.90","218.45","216.05","216.55","1,231,854"
03/30/2022,"217.65","218.15","215.10","216.30","1,101,203"
03/29/2022,"217.30","220.45","216.40","218.55","1,242,298"
03/28/2022,"214.10","218.60","214.10","214.75","974,361"
03/25/2022,"212.10","214.35","210.45","213.30","811,474"
03/24/2022,"212.60","213.75","211.65","212.65","967,406"
03/23/2022,"215.35","215.90","212.35","212.85","1,109,732"
03/22/2022,"212.85","216.95","212.60","215.00","1,084,671"
03/21/2022,"211.90","214.30","211.70","212.35","906,831"
03/18/2022,"212.40","214.10","210.05","211.90","2,208,008"
03/17/2022,"215.95","216.55","211.60","213.45","1,334,039"
03/16/2022,"214.20","217.50","212.60","215.85","1,673,695"
03/15/2022,"207.20","210.25","205.30","208.90","1,233,285"
03/14/2022,"208.00","212.65","207.70","209.30","1,897,455"
03/11/2022,"198.38","211.55","197.92","203.75","2,766,564"
03/10/2022,"199.00","201.50","195.80","198.10","2,654,538"
03/09/2022,"195.82","201.70","194.26","201.60","3,086,730"
03/08/2022,"180.70","191.84","180.50","187.94","3,353,119"
03/07/2022,"183.48","187.96","178.30","183.22","3,848,764"
03/04/2022,"192.80","192.80","187.06","188.56","3,037,456"
03/03/2022,"197.32","200.10","195.74","196.06","1,303,383"
03/02/2022,"195.00","199.60","192.62","197.32","2,224,307"
03/01/2022,"202.60","204.15","195.64","195.72","2,168,093"
02/28/2022,"202.30","203.95","198.96","203.30","2,545,437"
02/25/2022,"204.10","207.60","199.74","207.45","2,415,694"
02/24/2022,"198.00","203.10","197.20","200.20","3,493,020"
02/23/2022,"207.85","209.65","204.80","206.35","1,586,138"
02/22/2022,"201.60","207.60","200.00","206.60","1,815,688"
02/21/2022,"216.30","216.70","206.75","208.35","1,806,812"
02/18/2022,"219.65","222.25","213.05","214.10","2,591,102"
02/17/2022,"224.00","224.25","220.20","222.50","1,213,653"
02/16/2022,"227.00","227.55","224.15","225.40","680,928"
02/15/2022,"221.95","226.35","220.85","225.85","1,162,661"
02/14/2022,"223.40","224.40","218.55","223.10","1,972,347"
02/11/2022,"227.45","230.10","226.95","229.55","900,653"
02/10/2022,"231.65","232.45","229.00","229.25","1,071,570"
02/09/2022,"230.85","232.50","229.35","231.95","1,098,568"
02/08/2022,"227.85","230.50","226.95","229.85","1,260,430"
02/07/2022,"224.10","226.05","222.90","225.75","982,591"
02/04/2022,"226.40","226.60","220.05","222.25","1,110,644"
02/03/2022,"227.10","227.95","225.15","225.45","889,782"
02/02/2022,"226.85","228.60","226.05","227.05","721,742"
