Features,Best Model,Train Precision,Train Reward,Test Precision,Test Reward,Best Threshold
"('rsi_break_4h', 'rsi', 'adx')",XGBClassifier,0.17040884718498658,-3934,0.1769736842105263,-982,0.5
"('bb_middle_crossing', 'rsi_convergence5_40', 'adx_max_21')",XGBClassifier,0.26714801444043323,-129,0.234375,-34,0.6
"('macd_zero', 'rsi_limit_4h', 'williams_break')",XGBClassifier,0.22844827586206898,-630,0.23049645390070922,-152,0.55
"('cci_4h', 'rsi', 'adx_max_21')",XGBClassifier,0.3,-4,0.25,-2,0.55
"('macd_convergence', 'macd_max_4h', 'adx')",XGBClassifier,0.21674876847290642,-805,0.22815533980582525,-224,0.55
"('rsi_limit_4h', 'adx_4h', 'macd_slope_4h')",XGBClassifier,0.20691287878787878,-1238,0.210727969348659,-302,0.55
"('cci', 'candle_4h', 'macd_slope')",XGBClassifier,0.2698412698412698,-29,0.07407407407407407,-23,0.55
"('adx_slope', 'cci_4h', 'candle_4h')",XGBClassifier,0.20254745254745254,-2382,0.1952191235059761,-612,0.5
"('macd_convergence', 'macd_max_4h', 'ema_20_channel')",XGBClassifier,0.264,-118,0.25862068965517243,-28,0.6
"('cci', 'bb_sqeeze_both_direction_4h', 'rsi_convergence5_40')",XGBClassifier,0.22409638554216868,-229,0.19047619047619047,-65,0.55
"('macd_max', 'rsi_limit_4h', 'ema_20_channel')",XGBClassifier,0.22295081967213115,-338,0.14864864864864866,-104,0.55
"('macd_convergence', 'bb_middle_crossing', 'macd_slope_4h')",XGBClassifier,0.3352941176470588,-56,0.3469387755102041,-15,0.6
"('rsi_convergence', 'squeeze_momentum', 'bb_sqeeze_both_direction')",XGBClassifier,0.2360335195530726,-378,0.2904761904761905,-88,0.6
"('bb_sqeeze_both_direction_4h', 'williams_break', 'adx_4h')",XGBClassifier,0.2818991097922849,-147,0.2857142857142857,-42,0.55
"('macd', 'candle_4h', 'rsi_convergence5_40')",XGBClassifier,0.2106969205834684,-357,0.15083798882681565,-125,0.55
"('adx_max_48', 'macd', 'rsi_convergence')",XGBClassifier,0.22018348623853212,-488,0.248,-126,0.55
"('squeeze_momentum', 'candle_4h', 'adx_max_21')",XGBClassifier,0.24193548387096775,-64,0.11538461538461539,-20,0.55
"('macd_zero', 'rsi_limit_4h', 'bb_middle_crossing_4h')",XGBClassifier,0.17976424361493124,-5216,0.18322082931533268,-1314,0.5
"('macd_zero', 'adx_slope', 'williams_break')",XGBClassifier,0.22844827586206898,-630,0.23049645390070922,-152,0.55
"('candle_4h', 'bb_middle_crossing_4h', 'rsi_convergence5_40')",XGBClassifier,0.20178799489144317,-467,0.17391304347826086,-150,0.55
"('macd_max', 'macd_zero', 'rsi_limit_4h')",XGBClassifier,0.20519782777346782,-1520,0.1884272997032641,-420,0.55
"('macd_convergence', 'bb_middle_crossing', 'bb_sqeeze_both_direction')",XGBClassifier,0.3352941176470588,-56,0.3469387755102041,-15,0.55
"('macd_max', 'adx_slope', 'adx_max_4h')",XGBClassifier,0.20869803063457332,-2130,0.22111111111111112,-502,0.55
"('bb_sqeeze_both_direction_4h', 'williams_break', 'bb_sqeeze_both_direction')",XGBClassifier,0.23041894353369763,-592,0.23107569721115537,-135,0.55
"('rsi_limit_4h', 'rsi', 'adx_max_48')",XGBClassifier,0.1734987414599065,-3632,0.1757142857142857,-908,0.5
"('rsi', 'williams_break', 'adx_max_21')",XGBClassifier,0.2220555138784696,-741,0.209375,-186,0.55
"('macd_convergence', 'candle_4h', 'adx_max_4h')",XGBClassifier,0.22968197879858657,-459,0.27310924369747897,-108,0.55
"('bb_middle_crossing', 'macd_max_4h', 'rsi_convergence5_40')",XGBClassifier,0.2897196261682243,-45,0.2692307692307692,-12,0.6
"('rsi_limit_4h', 'candle_4h', 'rsi_convergence5_40')",XGBClassifier,0.20594965675057209,-257,0.1510791366906475,-97,0.55
"('adx_slope', 'bb_sqeeze_both_direction_4h', 'adx_max_4h')",XGBClassifier,0.1987704918032787,-294,0.19658119658119658,-71,0.55
